Building#,Altitude,BuildingHeight,BuildingWidth,NestHeight,SquareArea,AveNoise,temp,prec,win,nd,npp,pop,lon,lat,NestCount,NestD1,AvilNest,AvaNR2,gdpp,NestHeightR,DensityR,AvaNR,light,urban,ID
Buxili 102,16,14.5,60,6,3200,40,18.92,89,2.83,3719,-1.43E-10,4377.05957,118.17,39.66,1,1,6,0.5,9.342985078,1.0002,0.016666667,0.1,63,0.937593400478363,11840
Caizheng Ganbu Center Family Quarters 1,1089,18.5,70,13,2100,58,14.95,49.5,3.03,2055,-3.56E-11,2576.150879,113.29,40.07,6,0,18,0.385714286,4.411076668,3.8540875,0.085714286,0.257142857,63,0.940859019756317,11340
Caizheng Ganbu Center Family Quarters 2,1089,18.5,70,12.25,2100,58,14.95,49.5,3.03,2055,-3.56E-11,2576.150879,113.29,40.07,5,1,12,0.514285714,4.411076668,5.1574,0.071428571,0.171428571,63,0.940859019756317,11340
Caiqiao Xincun Building 19,1194.07,15,30,15,1250,46,16.02,24.17,2.67,4876,2.8036817312227e-10,3191.763428,105.2,37.5,1,1,3,0.5,4.125411304,4.9995,0.033333333,0.1,61,0.688499271869659,10538
Caiqiao Xincun Building 22,1186.312,15,40,8.4,930,45,16.02,24.17,2.67,4876,2.8036817312227e-10,3191.763428,105.2,37.5,8,0.6,29,0.725,4.125411304,2.87004,0.2,0.725,61,0.688499271869659,10538
Caiqiao Xincun Building 5,1193.29,18,20,4.5,600,58,16.02,24.17,2.67,4876,2.8036817312227e-10,3191.763428,105.2,37.5,4,0,9,1.125,4.125411304,1.65,0.2,0.45,61,0.688499271869659,10538
Changsheng North Street Building 14,44,15,45,12,450,47,20.15,61.5,2.43,3651,4.28234336879996e-10,2560.021729,114.85,38.03,8,0,30,1.111111111,5.282647592,3.2,0.177777778,0.666666667,58,0.933753490447998,11538
Changsheng North Street Building 16,42,15,45,10.5,450,52,20.15,61.5,2.43,3651,4.28234336879996e-10,2560.021729,114.85,38.03,9,0,48,1.333333333,5.282647592,1.999725,0.2,1.066666667,58,0.933753490447998,11538
Changsheng North Street Building 21,45,15,40,10.5,400,49,20.15,61.5,2.43,3651,4.28234336879996e-10,2560.021729,114.85,38.03,7,0,40,1.25,5.282647592,1.875,0.175,1,58,0.933753490447998,11538
Changning Community,908,21,55,12,1265,53,16.8,59.83,2.42,4171,4.80922697498887e-11,3875.931396,111.12,37.51,3,0.5,10,0.636363636,4.525735553,3.3,0.054545455,0.181818182,55,0.845815718173981,11138
Chaoyang Jiayuan 1,639,18,87,13.5,1740,53,15.2,62.83,2.7,5618,-8.89E-11,286.9842529,116.65,41.2,4,0,6,0.206896552,2.668889209,10.49985,0.045977011,0.068965517,59,0.817656457424164,11741
Chaoyang Jiayuan 2,639,18,87,13.5,1740,53,15.2,62.83,2.7,5618,-8.89E-11,286.9842529,116.65,41.2,3,1,6,0.206896552,2.668889209,7.50015,0.034482759,0.068965517,59,0.817656457424164,11741
