Building#,Altitude,BuildingHeight,BuildingWidth,NestHeight,SquareArea,AveNoise,temp,prec,win,nd,npp,pop,lon,lat,NestCount,NestD1,AvilNest,AvaNR2,gdpp,NestHeightR,DensityR,AvaNR,light,urban,ID
Lanshi Run'an Community Building 761,1502.16,24,80,13.5,1800,47,16.2,40.67,2.15,2635,4.1975678488626e-10,51415.5625,103.76,36.08,7,0,32,0.8,6.621804697,2.8125,0.0875,0.4,62,0.932658314704895,10436
Lanshi Run'an Community Building 833,1493.94,24,80,10.8,2700,49,16.2,40.67,2.15,2635,4.1975678488626e-10,51415.5625,103.76,36.08,6,0,35,0.7,6.621804697,1.8852,0.075,0.4375,62,0.932658314704895,10436
Lantian Jiayuan,1242,47.5,45,10,1300,53,17.18,71,1.73,3813,1.3618167704621e-09,22377.125,105.73,34.59,1,1,4,1.688888889,2.23442611,2.5,0.022222222,0.088888889,60,0.873668074607849,10635
Lantie Fuyuan Building 46,1496,24,60,21,2100,45,16.2,43.17,1.82,2745,4.39406039332013e-10,8028.291016,103.84,36.04,2,0,11,0.733333333,6.621804697,3.9003,0.033333333,0.183333333,62,0.926468372344971,10436
Lantie Fuyuan Community Building 47,1487,24,40,9,1500,48,16.2,43.17,1.82,2745,4.39406039332013e-10,8028.291016,103.84,36.04,1,0,5,1,6.621804697,1.8,0.025,0.125,62,0.926468372344971,10436
Lantie Fuyuan Community Building 50,1480,24,50,15,1400,48,16.2,43.17,1.82,2745,4.39406039332013e-10,8028.291016,103.84,36.04,2,0.5,9,0.72,6.621804697,3.45,0.04,0.18,62,0.926468372344971,10436
Lantie Xinle Community Building 45,1496,21.5,30,6.5,1200,45,16.2,43.17,1.82,2745,4.39406039332013e-10,8028.291016,103.84,36.04,1,1,2,0.466666667,6.621804697,3.25,0.033333333,0.066666667,62,0.926468372344971,10436
Lantie Xinle Community Building 46,1474,18,60,9,2400,51,16.2,43.17,1.82,2745,4.39406039332013e-10,8028.291016,103.84,36.04,1,1,6,0.6,6.621804697,1.5003,0.016666667,0.1,62,0.926468372344971,10436
Lantie Xinle Community Building 48,1487,18,10,12,1200,51,16.2,43.17,1.82,2745,4.39406039332013e-10,8028.291016,103.84,36.04,1,0.5,1,0.6,6.621804697,12,0.1,0.1,62,0.926468372344971,10436
Lantie Xinle Community Building 50,1474.5,18,60,13.5,1600,47,16.2,43.17,1.82,2745,4.39406039332013e-10,8028.291016,103.84,36.04,2,0,8,0.4,6.621804697,3.8997,0.033333333,0.133333333,62,0.926468372344971,10436
Lantie Xinle Community Building 60,1479,24,50,24,2100,42,16.2,43.17,1.82,2745,4.39406039332013e-10,8028.291016,103.84,36.04,1,0,3,0.48,6.621804697,7.9992,0.02,0.06,62,0.926468372344971,10436
Lanyuan Community,52,21,100,16.5,1950,66,19.5,77.83,2.47,4172,-1.35E-10,1108.980103,116.27,40.03,18,0,68,1.19,16.49040485,4.808775,0.18,0.68,63,0.934322595596313,11640
Lanzhou University Family Quarters Building 22,1510.15,55,30,9.375,1800,66,16.28,42.83,1.8,2289,4.39406039332013e-10,14405.67285,103.85,36.05,11,0,16,2.4,6.621804697,6.34375,0.366666667,0.533333333,63,0.937584817409515,10436
Lanzhou University Graduate Dormitory Building 4,1481.24,21,50,10.5,1750,66,16.2,43,1.77,2289,4.39406039332013e-10,16393,103.86,36.04,5,1,12,0.84,6.621804697,4.2498,0.1,0.24,62,0.935740649700165,10436
Lanjun L¨¹du Building 5,47,24,40,10.5,35000,51,19.97,65.83,2.3,2703,3.52209678089466e-10,798.7449951,114.46,37.95,19,1,36,1.2,5.282647592,5.91675,0.475,0.9,51,0.830286920070648,11438
Laodong Garden Building 3,1047,15.5,80,9,5400,45,14.32,36.5,3.13,2350,-4.39E-11,10482.2959,111.71,40.84,1,0,4,0.25,8.127158237,2.25,0.0125,0.05,63,0.877788484096527,11241
Laodong Garden Building 4,1048,18.5,110,9.5,4500,39,14.32,36.5,3.13,2350,-4.39E-11,10482.2959,111.71,40.84,4,1,22,0.4,8.127158237,1.588866667,0.036363636,0.2,63,0.877788484096527,11241
Laodong Garden Building 8,1047,12,100,6,3400,42,14.32,36.5,3.13,2350,-4.39E-11,10482.2959,111.71,40.84,1,1,7,0.28,8.127158237,0.8574,0.01,0.07,63,0.877788484096527,11241
Liliu Residential Community,947,18,70,13,1400,54,16.8,58,2.5,4171,4.80922697498887e-11,4088.232178,111.12,37.53,7,0,30,0.857142857,4.525735553,3.1,0.1,0.428571429,57,0.811707735061646,11138
Lihai Mingyuan,547,51,45,18,675,73,15.83,65.33,2.63,7351,-1.13E-10,297.2998657,117.72,41.31,2,1,11,4.155555556,4.621690913,3.2724,0.044444444,0.244444444,59,0.886209547519684,11841
Lijinyuan Building 9,1090,20.5,40,8.333333333,1050,56,16.35,25.67,2.67,3985,7.56520887601475e-11,2247.632813,106.28,38.44,5,1,14,0.816666667,6.870651127,2.933333333,0.125,0.35,63,0.81424605846405,10638
Lijingyuan Building 4,1196.47,19,50,14,1050,49,16.42,24.17,2.73,5411,2.53585569209847e-10,754.2646484,105.19,37.52,3,0,10,0.6,4.125411304,4.05,0.06,0.2,60,0.687716841697693,10538
Lishui Huating 121,2,30,50,14.25,2700,56,19.98,70.33,2.73,3609,4.07707173577521e-10,10926.84082,116.87,38.31,8,0,24,1.2,5.067812589,4.500225,0.16,0.48,62,0.939013123512268,11738
Lishui Huating 122,2,30,50,16.5,1900,56,19.98,70.33,2.73,3609,4.07707173577521e-10,10926.84082,116.87,38.31,7,1,24,1.2,5.067812589,4.74975,0.14,0.48,62,0.939013123512268,11738
Lishui Huating 151,2,30,70,19.375,2700,50,20,69.33,2.7,3609,4.07707173577521e-10,6445.505371,116.87,38.32,9,1,32,1.371428571,5.067812589,4.921875,0.128571429,0.457142857,62,0.937158763408661,11738
Lishui Huating 152,2,30,70,10,2700,50,20,69.33,2.7,3609,4.07707173577521e-10,6445.505371,116.87,38.32,1,0,10,1.714285714,5.067812589,1,0.014285714,0.142857143,62,0.937158763408661,11738
Lishui Xinyuan 2,0,18,151,13.5,5400,40,18.9,89.67,2.98,4048,-1.09E-10,2112.590576,118.1,39.56,6,1,56,0.556291391,9.342985078,2.04285,0.039735099,0.370860927,63,0.926789224147797,11840
Liyuan Community Building 1,1071,18.5,55,11,1750,50,14.57,38.5,3.13,2695,-4.39E-11,13230.31836,111.69,40.84,9,1,25,0.681818182,8.127158237,4.0807,0.163636364,0.454545455,63,0.898159503936768,11241
Lianhua Jiayuan,935,21,81,10,1360,51,16.65,59.67,2.42,3458,7.72329838971686e-11,2949.081787,111.13,37.5,6,0.5,18,0.518518519,4.525735553,3.016,0.074074074,0.222222222,55,0.740014731884003,11138
Liangcheng Yijing,63,78,100,21.3,50000,61,20.25,66.67,2.33,3114,3.52209678089466e-10,6908.504395,114.43,38,20,0.5,51,1.326,5.282647592,8.55,0.2,0.51,62,0.876637578010559,11438
Liang'erzhuang Community 1,33.18181818,15,18.36363636,11.86363636,536,49.90909091,20.3,66.5,2.52,5987,1.37342259787232e-09,310.3223877,115.26,36.73,34,0.181818182,132,3.267326733,3.862974148,3.124895455,1.851485149,7.188118812,9,0.747962176799774,11537
Liang'erzhuang Community 2,27.4,15,16.4,8.7,536,55.2,20.3,66.5,2.52,5987,1.37342259787232e-09,310.3223877,115.26,36.73,11,0.6,60,3.658536585,3.862974148,1.72485,0.670731707,3.658536585,9,0.747962176799774,11537
Liang'erzhuang Community 3,26,18.6,14.6,13.2,536,54.6,20.3,66.5,2.52,5987,1.37342259787232e-09,310.3223877,115.26,36.73,16,0.6,60,5.095890411,3.862974148,3.69966,1.095890411,4.109589041,9,0.747962176799774,11537
Liang'erzhuang Community 4,34,15,11,13.5,536,48,20.3,66.5,2.52,5987,1.37342259787232e-09,310.3223877,115.26,36.73,9,0,24,5.454545455,3.862974148,4.62495,0.818181818,2.181818182,9,0.747962176799774,11537
Liang'erzhuang Community 5,35,15,11,12,536,54,20.3,66.5,2.52,5987,1.37342259787232e-09,310.3223877,115.26,36.73,4,1,36,5.454545455,3.862974148,1.4166,0.363636364,3.272727273,9,0.747962176799774,11537
Linhui Jiayuan Building 5,1073,18.5,50,10,1750,59,16.23,25.67,2.7,4733,7.56520887601475e-11,2247.633301,106.27,38.46,3,1,9,0.54,6.870651127,2.95,0.06,0.18,63,0.841740548610687,10638
Linheli 1,4,18,45,15,675,55,17.03,87.17,4.1,3138,-1.51E-10,23324.69531,119.62,39.95,5,0,21,0.933333333,5.374131422,3.7143,0.111111111,0.466666667,63,0.909673869609833,12040
Linheli 2,4,18,45,16.5,675,55,17.03,87.17,4.1,3138,-1.51E-10,23324.69531,119.62,39.95,3,1,14,0.933333333,5.374131422,3.42885,0.066666667,0.311111111,63,0.909673869609833,12040
Linzhengli,2,18,40,16.5,600,73,16.98,85.83,4.15,3138,-1.51E-10,19774.03711,119.62,39.94,3,1,14,1.05,5.374131422,3.42885,0.075,0.35,63,0.907984375953674,12040
Liugangyuan Area B Building 12,1009,54,60,15.42857143,5400,51,14.87,46.5,3.05,1749,-3.56E-11,2495.427246,113.3,40.06,13,1,59,2.528571429,4.411076668,3.142714286,0.216666667,0.983333333,63,0.921345591545105,11340
Liugangyuan Area B Building 22,1021,66,30,9,2400,32,14.87,46.5,3.05,1749,-3.56E-11,2495.427246,113.3,40.06,6,1,16,3.911111111,4.411076668,3.5,0.2,0.533333333,63,0.921345591545105,11340
Liugangyuan Area B Building 23,1035,54,10,11.8,1750,41,14.87,46.5,3.05,1749,-3.56E-11,2495.427246,113.3,40.06,9,0.5,22,7.92,4.411076668,4.51,0.9,2.2,63,0.921345591545105,11340
Liugangyuan Area B Building 8,1023,43,60,16,2400,61,14.87,46.33,3.03,1749,-3.56E-11,2495.427002,113.31,40.06,6,0.5,14,1.088888889,4.411076668,6.316666667,0.1,0.233333333,63,0.9235919713974,11340
Liugangyuan Area C Building 25,1037,18.5,60,6.5,1800,44,14.87,46.5,3.05,1749,-3.56E-11,2495.427246,113.3,40.06,9,1,23,0.766666667,4.411076668,2.72915,0.15,0.383333333,63,0.921345591545105,11340
Liugangyuan Area C Building 6,1021,33,60,16.8,4800,44,14.87,46.5,3.05,1749,-3.56E-11,2495.427246,113.3,40.06,8,0,33,1.21,4.411076668,3.64272,0.133333333,0.55,63,0.921345591545105,11340
Liugangyuan Area C Building 9,1064,33,60,10,2400,38,14.87,46.5,3.05,1749,-3.56E-11,2495.427246,113.3,40.06,5,1,32,1.955555556,4.411076668,1.45,0.083333333,0.533333333,63,0.921345591545105,11340
Liuhu Township Government Family Quarters,1334,18,58,10.5,1040,46,15.03,60.5,2.08,3772,1.11149389692144e-09,7475.591797,106.68,35.54,2,1,10,0.517241379,2.575777329,2.1,0.034482759,0.172413793,62,0.803469896316528,10736
Longfeng Community,937,18,50,9,1000,47,16.77,59.33,2.42,4171,4.80922697498887e-11,4088.232422,111.13,37.54,7,0,15,0.6,4.525735553,4.8,0.14,0.3,60,0.822374284267426,11138
Longjuxuan Court,925,21,67,10.5,1474,53,16.53,59.67,2.45,3272,4.80922697498887e-11,3983.186279,111.16,37.53,5,0,14,0.731343284,4.525735553,3.6465,0.074626866,0.208955224,58,0.627831399440765,11138
Longquan Garden East Area,74,39,60,18.33333333,250000,63,20.07,66.33,2.28,3202,3.0199384659646e-10,2100.663086,114.38,38.01,18,0,45,1.083333333,5.282647592,6.933333333,0.3,0.75,56,0.84072744846344,11438
Longquan Community 1,0,18,115,11.75,2700,47,20,69.33,2.7,3609,4.07707173577521e-10,6445.505371,116.87,38.32,25,1,59,0.897826087,5.067812589,4.7229125,0.217391304,0.513043478,62,0.937158763408661,11738
Longquan Community 21,0,18,65,10.5,1500,47,20,69.33,2.7,3609,4.07707173577521e-10,6445.505371,116.87,38.32,13,0,22,0.78974359,5.067812589,6.365416667,0.2,0.338461538,62,0.937158763408661,11738
Longquan Community 22,0,18,65,10.5,1500,47,20,69.33,2.7,3609,4.07707173577521e-10,6445.505371,116.87,38.32,22,1,47,1.687179487,5.067812589,4.7862,0.338461538,0.723076923,62,0.937158763408661,11738
Longting Jiayuan Building 3,1700.46,35,80,6.5,5000,55,15.02,30.67,2.48,1531,4.62192173422693e-10,9797.405273,104.14,36.55,5,0,10,0.75,3.216234269,3.25,0.0625,0.125,62,0.802729368209839,10437
Longting Jiayuan Building 7,1703.55,20,70,17.5,2000,48,15.02,30.67,2.48,1531,4.62192173422693e-10,9797.405273,104.14,36.55,3,0,9,0.45,3.216234269,5.75,0.042857143,0.128571429,62,0.802729368209839,10437
Longxiang Community,551,36,70,16.2,1650,60.6,15.83,65.5,2.67,7351,-1.13E-10,297.2998352,117.73,41.31,13,1,58,1.988571429,4.621690913,3.432,0.185714286,0.828571429,60,0.854740977287292,11841
Luoma Shijia,893,99,70,12,3500,57,16.85,59.67,2.4,3458,7.72329838971686e-11,1209.098511,111.11,37.5,8,0,24,3.771428571,4.525735553,3.625,0.114285714,0.342857143,47,0.789500117301941,11138
Luoyu Community 1,1112,15,28,8.75,1026,40.6,16.18,70.67,1.8,3971,1.31915434131713e-09,460.9886475,105.72,34.74,3,0,14,1.5,2.23442611,1.964375,0.107142857,0.5,7,0.757841646671295,10635
Luoyu Community 2,1112,15,45,6.25,1288,37,17.32,71.5,1.68,3813,1.40447919960707e-09,22542.23438,105.74,34.58,5,1,24,0.8,2.23442611,1.250125,0.111111111,0.533333333,61,0.899328052997589,10635
Luoyu Community 27,1109,15,25,10,480,51,17.32,71.5,1.68,3813,1.40447919960707e-09,22542.23438,105.74,34.58,2,0,6,0.72,2.23442611,3.333,0.08,0.24,61,0.899328052997589,10635
Luoyu Community 3,1114,15,30,7.5,400,42.3,17.37,71.5,1.68,3883,1.43558154253043e-09,4892.974121,105.75,34.58,3,1,24,1.6,2.23442611,0.9375,0.1,0.8,60,0.854923784732819,10635
Meiyuan Community 1,909,18,55,12,1500,33,15.2,55.83,2.85,2851,4.86958320888853e-11,1597.998535,114.58,39.84,1,1,3,0.327272727,2.042134504,3.9996,0.018181818,0.054545455,43,0.884580254554749,11540
Meiyuan Community 2,909,18,55,12,1800,37,15.2,55.83,2.85,2851,4.86958320888853e-11,1597.998535,114.58,39.84,1,1,2,0.218181818,2.042134504,6,0.018181818,0.036363636,43,0.884580254554749,11540
Meiyuan Community 3,909,18,55,9,1250,37,15.2,55.83,2.85,2851,4.86958320888853e-11,1597.998535,114.58,39.84,2,1,3,0.327272727,2.042134504,6.0003,0.036363636,0.054545455,43,0.884580254554749,11540
Meidu Hotel,2328,16,30,4,600,60,12.48,49,2.22,3780,-3.81E-11,18102.36133,101.77,36.62,1,0,3,0.5,5.563206934,1.3332,0.033333333,0.1,63,0.914372384548187,10237
Meijing Huating,943,27,55,17,1155,67,16.62,60,2.43,4171,4.80922697498887e-11,3090.054932,111.14,37.51,6,0,18,0.981818182,4.525735553,4.816,0.109090909,0.327272727,58,0.901365280151367,11138
Meili Jiayuan 1,2236,15,40,6.25,500,50,12.37,47.83,2.5,4349,-4.48E-11,3956.816162,101.74,36.64,2,0,11,0.825,5.563206934,1.125125,0.05,0.275,63,0.889732599258423,10237
Meili Jiayuan 2,2285,18,50,9,1200,51,12.37,47.83,2.5,4349,-4.48E-11,3956.816162,101.74,36.64,1,0,4,0.48,5.563206934,2.25,0.02,0.08,63,0.889732599258423,10237
Meili City Garden Building 9,1196.5,19,80,9.75,1800,50,16.35,24.83,2.47,5411,2.53585569209847e-10,2105.354736,105.19,37.51,2,1,11,0.4125,4.125411304,1.708575,0.025,0.1375,61,0.636834025382996,10538
Meili Xincun Building 1,1148.68,18,80,17.5,1800,48,16.35,24.83,2.47,5411,2.53585569209847e-10,2105.354736,105.19,37.51,1,1,9,0.675,4.125411304,1.94425,0.0125,0.1125,61,0.636834025382996,10538
Meilin Xiaozhen 1,7,12.5,55,10,1300,56,20.1,68.83,2.67,3586,3.67289726410647e-10,708.6400757,116.84,38.36,9,1,23,0.696969697,5.067812589,4.211416667,0.163636364,0.418181818,52,0.784535527229309,11738
Meilin Xiaozhen 2,7,12.5,55,10,1300,56,20.1,68.83,2.67,3586,3.67289726410647e-10,708.6400757,116.84,38.36,1,0,3,0.272727273,5.067812589,3.333,0.018181818,0.054545455,52,0.784535527229309,11738
Meishu Shufa Chuangzuo Zhanshi Jidi,1482,15.5,20,12.5,900,56,16.2,43.17,1.82,2745,4.39406039332013e-10,8028.291016,103.84,36.04,1,0,1,0.25,6.621804697,12.5,0.05,0.05,62,0.926468372344971,10436
Minsheng Garden Building 2,1194.67,17,60,10.125,1400,54,16.23,25,2.47,5576,2.53585569209847e-10,3191.763428,105.2,37.51,6,1,17,0.425,4.125411304,3.65,0.1,0.283333333,61,0.654201149940491,10538
Mingshi Haoting,700,66,20,7.5,400,67,17.72,59.17,2.48,4420,1.14065555611997e-10,1313.299316,113.59,37.85,3,1,16,8.8,5.629102658,1.3125,0.15,0.8,61,0.912723362445831,11438
Mingshi Gongguan,98,43,12,17.57142857,688,63,19.68,64.33,2.32,3274,2.28700475224386e-10,1647.771484,114.37,38.31,8,0,34,4.857142857,3.529362289,4.000114286,0.666666667,2.833333333,60,0.929576337337494,11438
Mingshi Ju Building 10,1072,31,80,12.25,2500,59,14.57,38.5,3.13,2695,-4.39E-11,13230.31836,111.69,40.84,3,1,21,1.44375,8.127158237,1.822675,0.0375,0.2625,63,0.898159503936768,11241
Mingshi Ju Building 10-2,1072,31,80,12,3000,52,14.57,38.5,3.13,2695,-4.39E-11,13230.31836,111.69,40.84,9,0,32,1.466666667,8.127158237,3.27215,0.1125,0.4,63,0.898159503936768,11241
Mingzhu Jiayuan 5,2,18,103,13.5,4800,40,18.9,89.67,2.98,4048,-1.09E-10,2112.590576,118.1,39.56,9,0,37,0.538834951,9.342985078,3.374775,0.087378641,0.359223301,63,0.926789224147797,11840
Mingzhu Jiayuan 6,2,18,57,13.5,2400,40,18.9,89.67,2.98,4048,-1.09E-10,2112.590576,118.1,39.56,6,0,26,0.684210526,9.342985078,3.3681,0.105263158,0.456140351,63,0.926789224147797,11840
Mingzhu Jiayuan 7,2,15,57,15,2400,40,18.9,89.67,2.98,4048,-1.09E-10,2112.590576,118.1,39.56,6,0,15,0.526315789,9.342985078,5.4,0.105263158,0.263157895,63,0.926789224147797,11840
Mushan Community,785,84,30,15,1200,49,16.85,56.17,2.52,5455,-9.45E-12,6922.654785,112.71,38.43,5,0,16,3.733333333,3.846571398,4.875,0.166666667,0.533333333,63,0.907599329948425,11338
Nanqiao Tingyuan Building 1,1076,24,50,12,2400,60,16.35,26,2.62,3985,7.56520887601475e-11,2247.632813,106.28,38.45,3,0,12,0.96,6.870651127,2.7501,0.06,0.24,63,0.834824919700623,10638
Nanyiyuan Court,902,21,80,13.5,1400,52,16.85,59.67,2.4,3458,7.72329838971686e-11,1209.098511,111.11,37.5,7,0,28,0.6125,4.525735553,2.68125,0.0875,0.35,47,0.789500117301941,11138
Nanyuan Village Clinic,2238,15,54,6,510,55,12.43,49.33,2.3,3780,-3.81E-11,6855.328613,101.78,36.61,1,0.5,2,0.185185185,5.563206934,3,0.018518519,0.037037037,63,0.866531729698181,10237
Nanyuan Xuefu,665,18,30,12,900,51,17.65,58.83,2.55,2738,1.14065555611997e-10,530.7810059,113.61,37.87,6,1,15,1,5.629102658,5,0.2,0.5,60,0.828179180622101,11438
Nanzhuang Community No.2,682,21,30,6,600,60,17.45,60.5,2.4,4420,1.39835518164766e-10,293.6222839,113.58,37.83,1,0,4,0.933333333,5.629102658,1.5,0.033333333,0.133333333,58,0.864284157752991,11438
Nanzhuang Community No.5,682,21,30,6,600,60,17.45,60.5,2.4,4420,1.39835518164766e-10,293.6222839,113.58,37.83,1,0,4,0.933333333,5.629102658,1.5,0.033333333,0.133333333,58,0.864284157752991,11438
Nanzhuang Community No.7,682,21,30,7.5,600,60,17.45,60.5,2.4,4420,1.39835518164766e-10,293.6222839,113.58,37.83,3,0,8,0.933333333,5.629102658,3,0.1,0.266666667,58,0.864284157752991,11438
Nanzhuangzi Village,2221,10,15,5,144,38,12.3,48.33,2.3,3780,-3.81E-11,22428.29883,101.79,36.62,1,0.5,3,0.4,5.563206934,1.6665,0.066666667,0.2,63,0.92339152097702,10237
Ningliyuan Court,2220,15,53,10.5,832,42,12.42,49,2.22,3780,-3.81E-11,15364.12109,101.79,36.61,2,0,10,0.471698113,5.563206934,2.1,0.037735849,0.188679245,63,0.914076030254364,10237
Ningmeng Xiaozhen Building 1,61,36,60,12,60000,51,19.97,65.83,2.3,2703,3.52209678089466e-10,798.7449951,114.46,37.95,18,1,42,1.2,5.282647592,5.357057143,0.3,0.7,51,0.830286920070648,11438
Nuanquan Garden,1305,57,35,10.5,1000,53,15.03,60.5,2.08,3772,1.11149389692144e-09,7475.591797,106.68,35.54,2,1,5,1.357142857,2.575777329,3.99975,0.057142857,0.142857143,62,0.803469896316528,10736
Nuanquan Garden 2,1305,57,36,9,1250,57,15.03,60.5,2.08,3772,1.11149389692144e-09,7475.591797,106.68,35.54,4,1,10,1.759259259,2.575777329,3.6667,0.111111111,0.277777778,62,0.803469896316528,10736
Puqingli,6,18,45,15,810,62,17,87.5,4.15,3138,-1.51E-10,19490.99805,119.61,39.94,9,1,16,1.066666667,5.374131422,9,0.2,0.355555556,63,0.936549067497253,12040
Qile Jiayuan,-7,20,60,15.5,1500,54,17.02,85.83,4,6005,-1.44E-10,281.0808716,119.23,39.51,8,1,27,0.675,5.374131422,4.745575,0.133333333,0.45,7,0.36026069521904,11940
Qixin Jiayuan,46,15,45,10.5,450,48,20.15,61.5,2.43,3651,4.28234336879996e-10,2560.021729,114.85,38.03,12,0,56,1.555555556,5.282647592,2.3037,0.266666667,1.244444444,58,0.933753490447998,11538
Qingqing Jiayuan 7,3,18,60,9,7500,40,18.9,89.67,2.98,4048,-1.09E-10,2112.590576,118.1,39.56,1,1,8,0.8,9.342985078,1.125,0.016666667,0.133333333,63,0.926789224147797,11840
Qingyiyuan Court,2227,18,43,6,960,50,12.38,48.83,2.17,4265,-3.81E-11,26588.93945,101.8,36.61,1,0.5,4,0.558139535,5.563206934,1.5,0.023255814,0.093023256,63,0.899266123771667,10237
Qingyuan Fengjing Building 26,1093,33,30,10.5,2500,35,16.35,25,2.72,3985,7.56520887601475e-11,2247.632813,106.27,38.44,6,1,18,1.65,6.870651127,3.6375,0.2,0.6,63,0.734622895717621,10638
Qingyuan Fengjing Building 28,1097,33,30,15.75,1200,36,16.35,25,2.72,3985,7.56520887601475e-11,2247.632813,106.27,38.44,8,1,30,2.75,6.870651127,4.343925,0.266666667,1,63,0.734622895717621,10638
Qingyuan Fengjing Building 33,1081,33,30,12,1200,42,16.35,25,2.72,3985,7.56520887601475e-11,2247.632813,106.27,38.44,4,1,19,2.322222222,6.870651127,2.2384,0.133333333,0.633333333,63,0.734622895717621,10638
Qingyuan Fengjing Building 25,1097,33,60,17.14285714,3200,34,16.35,25,2.72,3985,7.56520887601475e-11,2247.632813,106.27,38.44,13,1,61,1.597619048,6.870651127,3.151414286,0.216666667,1.016666667,63,0.734622895717621,10638
Qunyili 2,-4,21,45,12,675,78,17.03,87.83,4.12,3138,-1.51E-10,15647.77051,119.6,39.94,5,1,24,1.244444444,5.374131422,2.375,0.111111111,0.533333333,63,0.930953800678253,12040
Reli Company Building 1-1,728,45,40,12,4000,57,17.5,60.17,2.52,3598,1.3376839913537e-10,2848.126953,113.61,37.8,2,0,3,1.125,5.374131422,8.0004,0.05,0.075,56,0.844908893108368,11438
Renhe Community Building 10,1060,19,50,13,1500,52,14.3,36.33,3.12,2350,-4.39E-11,3405.747803,111.71,40.85,7,1,17,0.51,8.127158237,5.0875,0.14,0.34,63,0.819698631763458,11241
Renhe Community Building 3,1054,19,45,12.33333333,1500,48,14.3,36.33,3.12,2350,-4.39E-11,3405.747803,111.71,40.85,4,0,10,0.444444444,8.127158237,5.1109,0.088888889,0.222222222,63,0.819698631763458,11241
Renhang Family Quarters,942,18,80,12,1400,53,16.8,58,2.5,4171,4.80922697498887e-11,4088.232178,111.12,37.53,5,0,10,0.375,4.525735553,5.4,0.0625,0.125,57,0.811707735061646,11138
Renhang Dormitory Building 1,1028,18.5,50,11.66666667,6300,59,14.82,38.83,3.17,2695,-4.25E-11,9606.123047,111.65,40.82,5,0,22,0.88,8.127158237,2.694533333,0.1,0.44,63,0.932102501392365,11241
Home Inn,763,20,55,17,1625,55,17.13,52.67,2.47,2432,1.85207613134786e-10,14937.61914,112.52,37.85,8,0,28,1.018181818,7.830320956,4.910733333,0.145454545,0.509090909,63,0.931614458560944,11338
Ruifuxiang Community,1080,18.5,50,8,1200,40,14.83,39,3.13,2744,-4.25E-11,21199.8418,111.65,40.8,3,1,13,0.78,8.127158237,1.7625,0.06,0.26,63,0.888576865196228,11241
Sanbao Mansion,46,19.8,66,11.55,10000,59,19.5,76.5,2.43,3823,-1.35E-10,1108.980103,116.25,40.07,13,1,48,1.090909091,16.49040485,3.4335675,0.196969697,0.727272727,63,0.889460384845734,11640
Sanqiaojie Community 16,794,21,15,19.5,1600,61,17.17,56.33,2.62,2758,1.85207613134786e-10,31851.50391,112.55,37.87,2,1,8,1.866666667,7.830320956,4.875,0.133333333,0.533333333,63,0.939374625682831,11338
Sanqiaojie Community 29,793,18,10,15,1800,65,17.13,56,2.6,2758,1.85207613134786e-10,29555.20117,112.55,37.88,2,0,5,3,7.830320956,6,0.2,0.5,63,0.942730486392975,11338
Sanqiaojie Community 9,793,18,10,16.5,1700,63,17.17,56.33,2.62,2758,1.85207613134786e-10,31851.50391,112.55,37.87,2,0,7,2.1,7.830320956,4.8747,0.2,0.7,63,0.939374625682831,11338
Sanyuan Community Building 6,1477.59,24,60,11,1200,45,16.28,42.83,1.8,2289,4.39406039332013e-10,14405.67285,103.85,36.05,3,0,12,0.8,6.621804697,2.2502,0.05,0.2,63,0.937584817409515,10436
Sanyuan Community Building 8,1477.04,18,50,14,2200,58,16.28,42.83,1.8,2289,4.39406039332013e-10,14405.67285,103.85,36.05,4,0.5,16,0.64,6.621804697,3.4665,0.08,0.32,63,0.937584817409515,10436
Shandongli,5,18,30,12,450,73,16.95,85.17,4.13,3138,-1.51E-10,14558.05273,119.61,39.93,7,0,18,1.2,5.374131422,4.8331,0.233333333,0.6,63,0.907515704631805,12040
Shannan Residential Community,1661,21,50,9,1400,54,15.05,30.17,2.45,2081,4.7367199051962e-10,2220.569336,104.18,36.54,1,1,3,0.42,3.216234269,2.9997,0.02,0.06,61,0.884595394134521,10437
Shanshui Longcheng,940,24,60,18,1800,46,16.63,59.33,2.45,4171,4.80922697498887e-11,4088.232422,111.14,37.54,9,0.5,28,0.933333333,4.525735553,5.25525,0.15,0.466666667,60,0.720681369304657,11138
Shanyi Dayiyuan 1,762,21,20,10,1800,42,17.22,55.83,2.55,2971,1.85207613134786e-10,13529.97656,112.55,37.85,8,1,29,3.383333333,7.830320956,2.9847,0.4,1.45,63,0.916937470436096,11338
Shanyi Dayiyuan 2,762,18,20,12.75,1800,42,17.22,55.83,2.55,2971,1.85207613134786e-10,13529.97656,112.55,37.85,5,0,24,1.8,7.830320956,3.062475,0.25,1.2,63,0.916937470436096,11338
Shizijie Community Building 29,1728.03,21,60,6.666666667,1600,59,14.87,30,2.43,1722,4.7367199051962e-10,1614.197876,104.18,36.56,6,1,17,0.661111111,3.216234269,2.7555,0.1,0.283333333,60,0.749440789222717,10437
Shizijie Community Building 40,1712.73,21,50,11.33333333,1400,57,14.87,30,2.43,1722,4.7367199051962e-10,1614.197876,104.18,36.56,5,1,15,0.7,3.216234269,4.333333333,0.1,0.3,60,0.749440789222717,10437
